# width: 200
# set_dx: 0.01
# set_courant: 0.5
# set_time: 100
k,Hy,Ez,mu_r,eps_r,sigma_m,sigma_e,ch1,ch2,ce1,ce2
0,0,0,1,1,48240.45033295278,0.36672149961845579,0.51500703050739916,0.0010053657587050027,0.4865602717609111,140.00807936629883
1,4.2989347401533795e-66,6.2476101507308256e-64,1,1,41192.931956288165,0.31441784573537351,0.57064992439224405,0.0010422906436069186,0.54305886380653601,145.32926244207002
2,3.9805121586444255e-63,6.0079360606732457e-61,1,1,34867.568705226833,0.26733997322185432,0.62419027622546985,0.0010778202717592819,0.59771503752902211,150.4769218096458
3,1.7062169768229035e-60,2.6692479022926938e-58,1,1,29225.325167574028,0.22521284095318414,0.67512517474500144,0.0011116209088939497,0.65001354670761047,155.40253025143562
4,4.5302265119611027e-58,7.3304007547257565e-56,1,1,24227.16593113499,0.18776140780464942,0.72299034900584869,0.0011433844626381109,0.69946848295443198,160.06032366259566
5,8.4135522554568739e-56,1.4050270739836548e-53,1,1,19834.055583714922,0.15471063265153603,0.76737817663498475,0.0011728404328765376,0.74564173474479034,164.40903957009593
6,1.1704386534512858e-53,2.0126418089463037e-51,1,1,16006.958713119064,0.12578547436913032,0.80795384939429771,0.0011997666392948472,0.78816022861069357,168.41354095278206
7,1.275607000212163e-51,2.2534373598068793e-49,1,1,12706.839907152636,0.10071089183271842,0.84446853897665142,0.0012239979582634106,0.82673072755086574,172.04620999378676
8,1.1248813786808375e-49,2.0367652287712963e-47,1,1,9894.6637536208709,0.079211843917586441,0.87676864576894809,0.0012454324603598228,0.8611511331016023,175.28801253870421
9,8.2273820502491451e-48,1.5233764446697547e-45,1,1,7531.3948403289969,0.061013289499020601,0.90480056535573816,0.0012640345734430155,0.89131753847587591,178.12916237841722
10,5.0907527442811375e-46,9.6176679942612353e-44,1,1,5577.997755082235,0.045840187452306974,0.92861082284853214,0.001279835171794818,0.91722667089451726,180.56935127414505
11,2.7087392312080714e-44,5.2103582114894276e-42,1,1,3995.4370856858177,0.03341749665273179,0.94834184442809777,0.0012929287700956264,0.93897378612112359,182.61755065931229
12,1.2566133555181415e-42,2.4560572244793992e-40,1,1,2744.6774199449692,0.023470175975581178,0.9642240014350153,0.0013034682438456487,0.95674647741130259,184.29142855042568
